Kennziffer;RS;Raumeinheit;Aggregat;Siedlung;Stadt_Land;Raumordnung;dutch
08235;8235;Calw;Landkreis;2,0;1,0;807,0;3
08236;8236;Enzkreis;Landkreis;2,0;1,0;807,0;5
08237;8237;Freudenstadt;Landkreis;3,0;2,0;807,0;2
08311;8311;Freiburg im Breisgau;krsfr. Stadt;1,0;1,0;811,0;10
08315;8315;Breisgau-Hochschwarzwald;Landkreis;2,0;1,0;811,0;5
08316;8316;Emmendingen;Landkreis;2,0;1,0;811,0;6
08317;8317;Ortenaukreis;Landkreis;2,0;1,0;811,0;6
08325;8325;Rottweil;Landkreis;2,0;1,0;809,0;5
08326;8326;Schwarzwald-Baar-Kreis;Landkreis;2,0;1,0;809,0;6
08327;8327;Tuttlingen;Landkreis;2,0;1,0;809,0;5
08335;8335;Konstanz;Landkreis;2,0;1,0;804,0;6
08336;8336;Lörrach;Landkreis;2,0;1,0;804,0;5
08337;8337;Waldshut;Landkreis;3,0;2,0;804,0;5
08415;8415;Reutlingen;Landkreis;2,0;1,0;806,0;5
08416;8416;Tübingen;Landkreis;2,0;1,0;806,0;8
08417;8417;Zollernalbkreis;Landkreis;2,0;1,0;806,0;5
08421;8421;Ulm;krsfr. Stadt;1,0;1,0;802,0;10
08425;8425;Alb-Donau-Kreis;Landkreis;3,0;2,0;802,0;1
08426;8426;Biberach;Landkreis;3,0;2,0;802,0;1
08435;8435;Bodenseekreis;Landkreis;2,0;1,0;801,0;5
08436;8436;Ravensburg;Landkreis;2,0;1,0;801,0;3
08437;8437;Sigmaringen;Landkreis;3,0;2,0;801,0;1
09161;9161;Ingolstadt, Stadt;krsfr. Stadt;1,0;1,0;907,0;8
09162;9162;München, Stadt;krsfr. Stadt;1,0;1,0;910,0;8
09163;9163;Rosenheim, Stadt;krsfr. Stadt;2,0;1,0;916,0;10
09171;9171;Altötting;Landkreis;2,0;1,0;916,0;6
09172;9172;Berchtesgadener Land;Landkreis;3,0;2,0;916,0;6
09173;9173;Bad Tölz-Wolfratshausen;Landkreis;4,0;2,0;913,0;3
09174;9174;Dachau;Landkreis;2,0;1,0;910,0;6
09175;9175;Ebersberg;Landkreis;2,0;1,0;910,0;5
09176;9176;Eichstätt;Landkreis;3,0;2,0;907,0;1
09177;9177;Erding;Landkreis;3,0;2,0;910,0;1
09178;9178;Freising;Landkreis;2,0;1,0;910,0;5
09179;9179;Fürstenfeldbruck;Landkreis;2,0;1,0;910,0;5
09180;9180;Garmisch-Partenkirchen;Landkreis;4,0;2,0;913,0;9
09181;9181;Landsberg am Lech;Landkreis;3,0;2,0;910,0;1
09182;9182;Miesbach;Landkreis;3,0;2,0;913,0;3
09183;9183;Mühldorf a.Inn;Landkreis;3,0;2,0;916,0;2
09184;9184;München;Landkreis;2,0;1,0;910,0;5
09185;9185;Neuburg-Schrobenhausen;Landkreis;4,0;2,0;907,0;1
09186;9186;Pfaffenhofen a.d.Ilm;Landkreis;3,0;2,0;907,0;1
09187;9187;Rosenheim;Landkreis;2,0;1,0;916,0;9
09188;9188;Starnberg;Landkreis;2,0;1,0;910,0;8
09189;9189;Traunstein;Landkreis;3,0;2,0;916,0;3
09190;9190;Weilheim-Schongau;Landkreis;3,0;2,0;913,0;5
09261;9261;Landshut, Stadt;krsfr. Stadt;3,0;2,0;908,0;10
09262;9262;Passau, Stadt;krsfr. Stadt;3,0;2,0;905,0;10
09263;9263;Straubing, Stadt;krsfr. Stadt;4,0;2,0;905,0;10
09271;9271;Deggendorf;Landkreis;4,0;2,0;905,0;9
09272;9272;Freyung-Grafenau;Landkreis;4,0;2,0;905,0;7
09273;9273;Kelheim;Landkreis;3,0;2,0;915,0;1
09274;9274;Landshut;Landkreis;3,0;2,0;908,0;1
09275;9275;Passau;Landkreis;3,0;2,0;905,0;7
09276;9276;Regen;Landkreis;4,0;2,0;905,0;7
09277;9277;Rottal-Inn;Landkreis;4,0;2,0;908,0;7
09278;9278;Straubing-Bogen;Landkreis;4,0;2,0;905,0;1
09279;9279;Dingolfing-Landau;Landkreis;3,0;2,0;908,0;1
09361;9361;Amberg, Stadt;krsfr. Stadt;4,0;2,0;914,0;10
09362;9362;Regensburg, Stadt;krsfr. Stadt;1,0;1,0;915,0;10
09363;9363;Weiden i.d.OPf., Stadt;krsfr. Stadt;4,0;2,0;914,0;10
09371;9371;Amberg-Sulzbach;Landkreis;4,0;2,0;914,0;7
09372;9372;Cham;Landkreis;4,0;2,0;915,0;7
09373;9373;Neumarkt i.d.OPf.;Landkreis;4,0;2,0;915,0;7
09374;9374;Neustadt a.d.Waldnaab;Landkreis;4,0;2,0;914,0;7
09375;9375;Regensburg;Landkreis;3,0;2,0;915,0;1
09376;9376;Schwandorf;Landkreis;4,0;2,0;914,0;7
09377;9377;Tirschenreuth;Landkreis;4,0;2,0;914,0;7
09461;9461;Bamberg, Stadt;krsfr. Stadt;3,0;2,0;912,0;10
09462;9462;Bayreuth, Stadt;krsfr. Stadt;4,0;2,0;911,0;10
09463;9463;Coburg, Stadt;krsfr. Stadt;3,0;2,0;912,0;10
09464;9464;Hof, Stadt;krsfr. Stadt;3,0;2,0;911,0;8
09471;9471;Bamberg;Landkreis;3,0;2,0;912,0;1
09472;9472;Bayreuth;Landkreis;4,0;2,0;911,0;7
09473;9473;Coburg;Landkreis;3,0;2,0;912,0;1
09474;9474;Forchheim;Landkreis;3,0;2,0;912,0;5
09475;9475;Hof;Landkreis;3,0;2,0;911,0;2
09476;9476;Kronach;Landkreis;3,0;2,0;912,0;1
09477;9477;Kulmbach;Landkreis;4,0;2,0;911,0;3
09478;9478;Lichtenfels;Landkreis;3,0;2,0;912,0;9
09479;9479;Wunsiedel i.Fichtelgebirge;Landkreis;3,0;2,0;911,0;2
09561;9561;Ansbach, Stadt;krsfr. Stadt;4,0;2,0;917,0;10
09562;9562;Erlangen, Stadt;krsfr. Stadt;1,0;1,0;906,0;10
09563;9563;Fürth, Stadt;krsfr. Stadt;1,0;1,0;906,0;8
09564;9564;Nürnberg, Stadt;krsfr. Stadt;1,0;1,0;906,0;8
09565;9565;Schwabach, Stadt;krsfr. Stadt;3,0;2,0;906,0;6
09571;9571;Ansbach;Landkreis;4,0;2,0;917,0;1
09572;9572;Erlangen-Höchstadt;Landkreis;2,0;1,0;906,0;5
09573;9573;Fürth;Landkreis;2,0;1,0;906,0;5
09574;9574;Nürnberger Land;Landkreis;2,0;1,0;906,0;6
09575;9575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;4,0;2,0;917,0;7
09576;9576;Roth;Landkreis;3,0;2,0;906,0;1
09577;9577;Weißenburg-Gunzenhausen;Landkreis;4,0;2,0;917,0;7
09661;9661;Aschaffenburg, Stadt;krsfr. Stadt;2,0;1,0;903,0;10
09662;9662;Schweinfurt, Stadt;krsfr. Stadt;3,0;2,0;909,0;10
09663;9663;Würzburg, Stadt;krsfr. Stadt;1,0;1,0;918,0;10
09671;9671;Aschaffenburg;Landkreis;2,0;1,0;903,0;5
09672;9672;Bad Kissingen;Landkreis;4,0;2,0;909,0;9
09673;9673;Rhön-Grabfeld;Landkreis;4,0;2,0;909,0;9
09674;9674;Haßberge;Landkreis;4,0;2,0;909,0;1
09675;9675;Kitzingen;Landkreis;3,0;2,0;918,0;2
09676;9676;Miltenberg;Landkreis;2,0;1,0;903,0;5
09677;9677;Main-Spessart;Landkreis;4,0;2,0;918,0;7
09678;9678;Schweinfurt;Landkreis;3,0;2,0;909,0;1
09679;9679;Würzburg;Landkreis;2,0;1,0;918,0;5
09761;9761;Augsburg, Stadt;krsfr. Stadt;1,0;1,0;902,0;8
09762;9762;Kaufbeuren, Stadt;krsfr. Stadt;4,0;2,0;901,0;10
09763;9763;Kempten (Allgäu), Stadt;krsfr. Stadt;4,0;2,0;901,0;8
09764;9764;Memmingen, Stadt;krsfr. Stadt;3,0;2,0;904,0;8
09771;9771;Aichach-Friedberg;Landkreis;3,0;2,0;902,0;1
09772;9772;Augsburg;Landkreis;2,0;1,0;902,0;5
09773;9773;Dillingen a.d.Donau;Landkreis;3,0;2,0;902,0;7
09774;9774;Günzburg;Landkreis;2,0;1,0;904,0;3
09775;9775;Neu-Ulm;Landkreis;2,0;1,0;904,0;5
09776;9776;Lindau (Bodensee);Landkreis;2,0;1,0;901,0;6
09777;9777;Ostallgäu;Landkreis;4,0;2,0;901,0;1
09778;9778;Unterallgäu;Landkreis;3,0;2,0;904,0;1
09779;9779;Donau-Ries;Landkreis;3,0;2,0;902,0;1
09780;9780;Oberallgäu;Landkreis;4,0;2,0;901,0;1
10041;10041;Regionalverband Saarbrücken;Landkreis;2,0;1,0;1001,0;8
10042;10042;Merzig-Wadern;Landkreis;2,0;1,0;1001,0;2
10043;10043;Neunkirchen;Landkreis;2,0;1,0;1001,0;6
10044;10044;Saarlouis;Landkreis;2,0;1,0;1001,0;6
10045;10045;Saarpfalz-Kreis;Landkreis;2,0;1,0;1001,0;6
10046;10046;St. Wendel;Landkreis;2,0;1,0;1001,0;5
11000;11000;Berlin, Stadt;krsfr. Stadt;1,0;1,0;1101,0;8
12051;12051;Brandenburg an der Havel, Stadt;krsfr. Stadt;4,0;2,0;1201,0;8
12052;12052;Cottbus, Stadt;krsfr. Stadt;3,0;2,0;1202,0;8
12053;12053;Frankfurt (Oder), Stadt;krsfr. Stadt;3,0;2,0;1203,0;8
12054;12054;Potsdam, Stadt;krsfr. Stadt;1,0;1,0;1201,0;8
12060;12060;Barnim;Landkreis;3,0;2,0;1205,0;2
12061;12061;Dahme-Spreewald;Landkreis;4,0;2,0;1202,0;1
12062;12062;Elbe-Elster;Landkreis;4,0;2,0;1202,0;7
12063;12063;Havelland;Landkreis;4,0;2,0;1201,0;1
12064;12064;Märkisch-Oderland;Landkreis;4,0;2,0;1203,0;1
12065;12065;Oberhavel;Landkreis;4,0;2,0;1204,0;5
12066;12066;Oberspreewald-Lausitz;Landkreis;4,0;2,0;1202,0;7
12067;12067;Oder-Spree;Landkreis;3,0;2,0;1203,0;3
12068;12068;Ostprignitz-Ruppin;Landkreis;4,0;2,0;1204,0;9
12069;12069;Potsdam-Mittelmark;Landkreis;4,0;2,0;1201,0;1
12070;12070;Prignitz;Landkreis;4,0;2,0;1204,0;2
12071;12071;Spree-Neiße;Landkreis;3,0;2,0;1202,0;7
12072;12072;Teltow-Fläming;Landkreis;4,0;2,0;1201,0;2
12073;12073;Uckermark;Landkreis;4,0;2,0;1205,0;7
13003;13003;Rostock, Stadt;krsfr. Stadt;1,0;1,0;1302,0;8
13004;13004;Schwerin, Stadt;krsfr. Stadt;3,0;2,0;1304,0;10
13071;13071;Mecklenburgische Seenplatte;Landkreis;4,0;2,0;1301,0;3
13072;13072;Landkreis Rostock;Landkreis;4,0;2,0;1302,0;2
13073;13073;Vorpommern-Rügen;Landkreis;4,0;2,0;1303,0;2
13074;13074;Nordwestmecklenburg;Landkreis;3,0;2,0;1304,0;7
13075;13075;Vorpommern-Greifswald;Landkreis;4,0;2,0;1303,0;9
13076;13076;Ludwigslust-Parchim;Landkreis;4,0;2,0;1304,0;7
14511;14511;Chemnitz, Stadt;krsfr. Stadt;1,0;1,0;1403,0;8
14521;14521;Erzgebirgskreis;Landkreis;2,0;1,0;1403,0;3
14522;14522;Mittelsachsen;Landkreis;3,0;2,0;1403,0;3
14523;14523;Vogtlandkreis;Landkreis;3,0;2,0;1403,0;3
14524;14524;Zwickau;Landkreis;2,0;1,0;1403,0;6
14612;14612;Dresden, Stadt;krsfr. Stadt;1,0;1,0;1401,0;8
14625;14625;Bautzen;Landkreis;3,0;2,0;1402,0;3
14626;14626;Görlitz;Landkreis;4,0;2,0;1402,0;3
14627;14627;Meißen;Landkreis;3,0;2,0;1401,0;3
14628;14628;Sächsische Schweiz-Osterzgebirge;Landkreis;3,0;2,0;1401,0;2
14713;14713;Leipzig, Stadt;krsfr. Stadt;1,0;1,0;1404,0;8
14729;14729;Leipzig;Landkreis;3,0;2,0;1404,0;3
14730;14730;Nordsachsen;Landkreis;4,0;2,0;1404,0;3
15001;15001;Dessau-Roßlau, Stadt;krsfr. Stadt;2,0;1,0;1502,0;8
15002;15002;Halle (Saale), Stadt;krsfr. Stadt;1,0;1,0;1503,0;8
15003;15003;Magdeburg, Stadt;krsfr. Stadt;1,0;1,0;1504,0;8
15081;15081;Altmarkkreis Salzwedel;Landkreis;3,0;2,0;1501,0;7
15082;15082;Anhalt-Bitterfeld;Landkreis;2,0;1,0;1502,0;3
15083;15083;Börde;Landkreis;4,0;2,0;1504,0;7
15084;15084;Burgenlandkreis;Landkreis;3,0;2,0;1503,0;2
15085;15085;Harz;Landkreis;3,0;2,0;1504,0;4
15086;15086;Jerichower Land;Landkreis;4,0;2,0;1504,0;9
15087;15087;Mansfeld-Südharz;Landkreis;4,0;2,0;1503,0;2
15088;15088;Saalekreis;Landkreis;3,0;2,0;1503,0;1
15089;15089;Salzlandkreis;Landkreis;3,0;2,0;1504,0;4
15090;15090;Stendal;Landkreis;4,0;2,0;1501,0;9
15091;15091;Wittenberg;Landkreis;4,0;2,0;1502,0;7
16051;16051;Erfurt, Stadt;krsfr. Stadt;1,0;1,0;1601,0;8
16052;16052;Gera, Stadt;krsfr. Stadt;2,0;1,0;1603,0;8
16053;16053;Jena, Stadt;krsfr. Stadt;1,0;1,0;1603,0;8
16054;16054;Suhl, Stadt;krsfr. Stadt;4,0;2,0;1604,0;8
16055;16055;Weimar, Stadt;krsfr. Stadt;2,0;1,0;1601,0;8
16056;16056;Eisenach, Stadt;krsfr. Stadt;3,0;2,0;1604,0;8
16061;16061;Eichsfeld;Landkreis;3,0;2,0;1602,0;3
16062;16062;Nordhausen;Landkreis;4,0;2,0;1602,0;9
16063;16063;Wartburgkreis;Landkreis;3,0;2,0;1604,0;1
16064;16064;Unstrut-Hainich-Kreis;Landkreis;4,0;2,0;1602,0;9
16065;16065;Kyffhäuserkreis;Landkreis;4,0;2,0;1602,0;7
16066;16066;Schmalkalden-Meiningen;Landkreis;4,0;2,0;1604,0;3
16067;16067;Gotha;Landkreis;3,0;2,0;1601,0;1
16068;16068;Sömmerda;Landkreis;4,0;2,0;1601,0;1
16069;16069;Hildburghausen;Landkreis;4,0;2,0;1604,0;9
16070;16070;Ilm-Kreis;Landkreis;3,0;2,0;1601,0;1
16071;16071;Weimarer Land;Landkreis;2,0;1,0;1601,0;9
16072;16072;Sonneberg;Landkreis;4,0;2,0;1604,0;3
16073;16073;Saalfeld-Rudolstadt;Landkreis;4,0;2,0;1603,0;3
16074;16074;Saale-Holzland-Kreis;Landkreis;3,0;2,0;1603,0;3
16075;16075;Saale-Orla-Kreis;Landkreis;4,0;2,0;1603,0;1
16076;16076;Greiz;Landkreis;2,0;1,0;1603,0;2
16077;16077;Altenburger Land;Landkreis;3,0;2,0;1603,0;3
